Name,Rating,Type,Type1,Hours,About,suggest_duration,ImageURL,Address,Guide
San Diego Zoo,4.5,NULL,NULL,NULL,"The San Diego Zoo pioneered cageless exhibits and offers travelers a fun and informative experience. Featuring over 4000 animals, the park gives you a peek into the wildlife of several ecosystems, from deserts to rainforests. Ride the tour bus, which crosses three quarters of the zoo’s area, and learn more about the animals from the guide as you view them in their natural habitats. You can also hop on the Skyfari gondola lift to see the entire park from above. 

Tickets to the San Diego Zoo that also cover the San Diego Zoo Safari Park in Escondido are available for a discount. 

– Tripadvisor",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/40/79/20/san-diego-zoo.jpg?w=100&h=-1&s=1,"2929 Zoo Drive Balboa Park, San Diego, CA 92101",NULL
Louisville Mega Cavern,5.0,NULL,NULL,9:30 AM - 6:00 PM,"While visiting Louisville, Kentucky, you won't want to miss MEGA ZIPS, the world's ONLY underground zipline adventure tour! Featuring 6 ziplines nearly 100 feet off the cavern floor and two challenge bridges, MEGA ZIPS is 2.5 hours of adrenaline-fueled adventure! Though fun for the whole family, the kids will especially love MEGA QUEST, the only underground ropes challenge course in the world! MEGA QUEST features two levels and 76 challenge elements including mini-ziplines and rope walls. Explore at your own pace in this 2-hour adventure! Heights aren't your thing? No problem! Enjoy the jumps in our 320,000 square foot BMX & MTB MEGA BIKE PARK, explore the furthest parts of the cavern on our MEGA eBIKE tour, or enjoy a seated historical tour of the cavern on our MEGA TRAM.",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/31/4b/cd/view-of-the-challenge.jpg?w=100&h=-1&s=1,"1841 Taylor Avenue, Louisville, KY 40213-1565",NULL
USS Midway Museum,5.0,NULL,NULL,10:00 AM - 5:00 PM,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the 225,000 young men who served on Midway. Visitors explore a floating city at sea, the amazing flight deck and its 29 restored aircraft, flight simulators, and are inspired in the Battle of Midway Theater, included with admission. Admission also includes a self-guided audio tour narrated by Midway sailors in English, Mandarin, Spanish, Japanese, French and German. Visiting Midway is a once-in-a-lifetime experience in San Diego, known around the world as ""Navy Town, USA.""",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/18/10/41/caption.jpg?w=100&h=-1&s=1,"910 N Harbor Drive, San Diego, CA 92101-5811","How to get there
Santa Fe Depot • 8 min walk"
The Art Institute of Chicago,5.0,NULL,NULL,11:00 AM - 5:00 PM,"See why the Art Institute of Chicago is the only museum in the world to be top-ranked by TripAdvisor four years in a row! Experience the greatest Impressionist collection outside Paris, and view contemporary masterpieces in the spectacular Modern Wing. Stand before classics like Nighthawks, and travel the globe through galleries devoted to the art of ancient Greece, Japan, Africa, and the Americas.",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/3f/3c/7c/photo0jpg.jpg?w=100&h=-1&s=1,"111 S Michigan Ave, Chicago, IL 60603-6110","How to get there
Adams/Wabash • 3 min walk
Monroe • 5 min walk"
Universal Studios Hollywood,4.5,NULL,NULL,10:00 AM - 6:00 PM,"Get ready for the ultimate Hollywood experience! Find a full day of action-packed entertainment all in one place: thrilling theme park rides and shows, a real working movie studio, and Los Angeles’ best shops, restaurants and cinemas at CityWalk. Universal Studios Hollywood is a unique experience that’s fun for the whole family. Explore Universal Studios backlot on the legendary Studio Tour. Then face the action head on in heart-pounding rides, shows and attractions that put you inside some of the world’s biggest movies. End your day with the energy and excitement of Universal CityWalk. All this and much more. Only at Universal Studios Hollywood, The Entertainment Capital of L.A.",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/a6/aa/c5/universal-studios-hollywood.jpg?w=100&h=-1&s=1,"100 Universal City Plaza, Los Angeles, CA 91608-1002",NULL
Biltmore,4.5,Historic Sites , History Museums,NULL,"This historic country estate in Asheville spans 8,000 acres and is centered on America's largest private home, the Biltmore House. Besides touring the lavish Châteauesque-style mansion and admiring its architecture and beautifully landscaped gardens, you can also book a stay at the estate's hotel, inn or cottages. Start the morning with a massage at the estate’s spa, go shopping at Antler Hill Village, tackle a hiking trail, and wind down with a meal and a glass of red at the restaurant and winery.

If you’re visiting during the holiday season, the Candlelight Christmas tour is one of Biltmore’s must-dos. – Tripadvisor",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/03/c7/09/the-biltmore-estate-in.jpg?w=100&h=-1&s=1,"1 Lodge Street, Asheville, NC 28803-2662",NULL
Times Square,4.5, Points of Interest & Landmarks , Scenic Walking Areas,NULL,"Central area in NYC that has many shops, restaurants, office buildings and flashing billboards around it.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/97/38/c7/one-of-my-favourite-places.jpg?w=100&h=-1&s=1,"Broadway, New York City, NY 10036","How to get there
49th St • 3 min walk
50th St • 4 min walk"
Grand Central Terminal,4.5,Points of Interest & Landmarks , Architectural Buildings,5:30 AM - 2:00 AM,"Grand Central Terminal is the most extraordinary public space in New York City. Opened to the public in 1913, this historic train terminal is a world-famous landmark in Midtown. Its rich history is a story of immense wealth and great engineering. Grand Central is one of the busiest train stations in the world, with approximately 750,000 visitors every day. It is the home of Metro-North Railroad, a subway station, iconic restaurants, shops, and the world's most alluring Apple Store. Some of the highlights to see along your tour of Grand Central include the opal-faced clock, valued at $20 million, above the Information Booth, the Largest Tiffany Glass Clock in the World below the 48-foot, 1500-ton Transportation statue overlooking 42nd Street at Park Avenue, and the mystifying acoustics of the Whispering Gallery in front of the Oyster Bar and Restaurant. Audio and guided tours are available for those with a passion for history. More information regarding tours and ways to plan your visit can be found on the Grand Central Terminal website.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6a/d7/27/fb-img-1556736015619.jpg?w=100&h=-1&s=1,"89 E 42nd Street, New York City, NY 10017-5503","How to get there
Grand Central • 1 min walk
Grand Central • 1 min walk"
Grand Canyon South Rim,5.0,NULL,NULL,NULL,"The most developed area of Grand Canyon National Park, the South Rim offers amenities such as bus service, hotels and water stations, but is also more crowded than the North Rim. Scenic highlights include Pipe Creek Vista and Yavapai Point.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/45/79/32/grand-canyon.jpg?w=100&h=-1&s=1,"Highway 64, Grand Canyon National Park, AZ 86023",NULL
Chihuly Garden and Glass,5.0,Art Galleries , Art Museums,10:00 AM - 5:00 PM,"This must-see museum exhibits creative and colorful blown glass sculptures of renowned artist Dale Chihuly. Eight indoor galleries and lush landscaped gardens feature a mix of new and past significant works. They are awe-inspiring whether you visit during the day, or in the evening when the sculptures are lit up. The highlight here is a 100-foot-long glass sculpture suspended in a glass conservatory—one of his largest ever.

Located at the base of the iconic Space Needle, you might want to buy a combined ticket for cost savings or get a Seattle City Pass. 

– Tripadvisor",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/87/52/77/this-is-such-a-cool-spot.jpg?w=100&h=-1&s=1,"305 Harrison Street, Seattle, WA 98109-4623","How to get there
Seattle Center • 3 min walk"
Broadway,4.5,NULL,NULL,NULL,"Midtown Manhattan is home to one of the world's most famous theatre districts, with iconic musicals and well-loved plays staged live at over 40 theatres.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/87/eb/86/photo3jpg.jpg?w=100&h=-1&s=1,"599 Broadway, New York City, NY 10012-3235","How to get there
Times Square – 42nd St • 4 min walk
Times Square • 4 min walk"
Brooklyn Bridge,4.5,NULL,NULL,12:00 AM - 11:59 PM,"Opened in 1883, the Brooklyn Bridge provides passage between Brooklyn and Manhattan for motorists, trains, bicycles and pedestrians. One of the primary symbols of New York City, it is a marvel of design and provides spectacular views of the city's skyline.",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/90/3d/6f/photo0jpg.jpg?w=100&h=-1&s=1,NULL,NULL
Red Rock Canyon National Conservation Area,4.5, Canyons , Geologic Formations,6:00 AM - 7:00 PM,Visitors can admire colorful rock formations on several hiking trails or on a 13-mile scenic drive.,1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/be/50/c8/photo1jpg.jpg?w=100&h=-1&s=1,"1000 Scenic Loop Dr, Las Vegas, NV 89161",NULL
‪Diamond Head State Monument,4.5,Hiking Trails , Scenic Walking Areas,6:00 AM - 4:30 PM,"This dormant volcano crater is one of Honolulu’s major natural landmarks, known for its history, amazing hikes, and stunning coastal views. The way to the summit is an easy-to-moderate hike up—though there's a steep flight of steps—and you'll be treated to some of the best views on the island. There are also many lookouts surrounding the crater. If you have limited mobility, don't worry, multiple other hikes within the park are accessibility friendly.

It can get busy (and hot!) so try to reach early in the morning and bring sunscreen and plenty of water. Online reservations are required for non-residents but are often included in guided tours of Diamond Head. – Tripadvisor",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/8f/34/photo1jpg.jpg?w=100&h=-1&s=1,"18th Ave. Waikiki, Honolulu, Oahu, HI 96815",NULL
USS Arizona Memorial,4.5, Monuments & Statues , History Museums,7:00 AM - 5:00 PM,"The most visited spot in Hawaii, this majestic floating memorial honors those who died during the WWII Pearl Harbor attack.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/53/3d/12/20170519-080256-largejpg.jpg?w=100&h=-1&s=1,"1 Arizona Memorial Place, Honolulu, Oahu, HI 96818",NULL
Garden of the Gods,5.0,NULL,NULL,9:00 AM - 5:00 PM,"Jam-packed with dramatic rock formations, the Garden of the Gods is a prime spot for hiking amid beautiful scenery. Stop for a photo by the Steamboat Rock, then set out to trek the 21 miles of trails within the park. The 1.5-mile-long Perkins Central Garden Trail is wheelchair accessible and runs between all the major sights like the Kissing Camels. On your way back, grab a snack and shop for souvenirs at the gift shop. 

Located on the outskirts of Colorado Springs, the Garden of the Gods can be visited for free—parking included. 

– Tripadvisor",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/5e/ef/7c/garden-of-the-gods.jpg?w=100&h=-1&s=1,"1805 N. 30th St., Colorado Springs, CO 80904-1247",NULL
Fenway Park,4.5,NULL,NULL,9:00 AM - 5:00 PM,"Hallowed ground to baseball fans, this century-old ballpark is the home field of the Boston Red Sox. Fans often flock to Fenway Park to catch a game over beer and hot dogs—the game season typically runs from April through October. You might want to stay till at least the eighth inning to sing “Sweet Caroline” with the crowd. The stadium is also home to the iconic Green Monster wall, a 37-foot-tall left-field wall. 

Apart from games, you can join a year-round guided tour of the stadium to learn about the history of the sport and the team, as well as get a behind-the-scenes peek into the locker room. 

– Tripadvisor",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/cc/dc/0b/the-old-ball-game-at.jpg?w=100&h=-1&s=1,"4 Yawkey Way, Boston, MA 02215-3409","How to get there
Kenmore • 5 min walk
Blandford St • 5 min walk"
Millennium Park,4.5,Points of Interest & Landmarks , Parks,6:00 AM - 11:00 PM,"Three square blocks of open lakefront complete with a Ferris Wheel, outdoor music pavillion and ice skating rink; expected to become one of the city's most popular sites.",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b4/91/a3/the-bean.jpg?w=100&h=-1&s=1,"201 East Randolph Street, Chicago, IL 60601-6530","How to get there
Randolph/Wabash • 5 min walk
Adams/Wabash • 6 min walk"
San Antonio River Walk,4.5,NULL,NULL,NULL,"Also known as Paseo del Rio, this 15-mile-long river walk is a must-do in San Antonio. Opt for a self-guided walking or bike tour of the riverside paths, lined with beautiful cypress trees, shops, museums, hotels and of course, Tex-Mex restaurants.

But one of the best ways to experience the River Walk is on a hop-on, hop-off cruise, which glides past iconic spots like the Arneson River Theatre, Marriage Island, and the San Antonio Museum of Art. Visit during festivals and holidays like St Patrick's Day and Christmas for exciting river parades and spectacular light illuminations. 

– Tripadvisor",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/46/27/fa/river-walk.jpg?w=100&h=-1&s=1,"849 E Commerce St, San Antonio, TX 78205-3939",NULL
Manhattan Skyline,5.0,NULL,NULL,10:00 AM - 12:00 AM,"From the Chrysler Building to the Empire State Building, this world-famous skyline view of New York's most densely populated borough is a must-see for any traveler.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a4/59/20/photo5jpg.jpg?w=100&h=-1&s=1,Read more,"How to get there
34th St – Herald Square • 3 min walk
33rd St • 5 min walk"
Discovery Cove,5.0,Amusement & Theme Parks , Water Parks,7:15 AM - 5:30 PM,"Discovery Cove is a one-of-a kind experience where you can interact with bottlenose dolphins, feed tropical birds, play inches from a family of otters and even walk on the Grand Reef floor-all in one day. Between adventures, recharge with unlimited island fare and refreshments. With this all-inclusive experience your family can unwind, explore, learn, and create memories that will last a lifetime.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/97/60/be/discovery-cove.jpg?w=100&h=-1&s=1,"6000 Discovery Cove Way, Orlando, FL 32821-6000",NULL
Ole Smoky,4.5,NULL,NULL,10:00 AM - 11:00 PM,"Ole Smoky is the first federally licensed moonshine distillery in the state of Tennessee. A visit to Ole Smoky is the true moonshine experience. As you approach the entrance, you can detect the distinct smell of our grains cooking and fermenting. You'll see authentic working moonshine stills and experience the process from beginning to end. Our distillers will take the time to visit with you and answer any questions about the history and lore of moonshining in East Tennessee.After you see, smell and hear about the process, we offer tastings of our Award winning shine! Samples of our Original Unaged Corn Whiskey, White Lightnin' and Moonshine Cherries as well as Apple Pie and Blackberry flavors - plus we offer seasonal and special flavors that aren't available in package stores. And of course, you'll be able to buy plenty of moonshine and Ole Smoky merchandise to take home with you.",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/bd/cb/a6/ole-smokey-holler-is.jpg?w=100&h=-1&s=1,"903 Parkway Unit 128 Ole Smoky Moonshine Holler, Gatlinburg, TN 37738-3181",NULL
Grand Ole Opry,4.5,NULL,NULL,NULL,"The Grand Ole Opry is an iconic live performance show that made country music famous. As Nashville's number one attraction, it is a must-see for anyone who truly wants to experience Music City. Starting off as a radio broadcast in 1925, each daily show today is a unique mix of legendary music superstars and rising talents performing music or staging comedic shows and skits. 

Take a daytime tour of the theatre to walk in the footsteps of these stars and see what goes on behind the scenes. You can also upgrade your tickets to include guided post-show backstage passes and artist visits. 

– Tripadvisor",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/3d/c0/1f/grand-ole-opry-house.jpg?w=100&h=-1&s=1,"2804 Opryland Drive, Nashville, TN 37214-1209",NULL
Graceland,4.5,Speciality Museums , Points of Interest & Landmarks,9:00 AM - 4:00 PM,"The Graceland mansion, Elvis Presley’s home, offers a glimpse into the life of the one and only King of Rock ‘n’ Roll. Take a peek at Elvis’ collection of custom jets and don’t miss the Elvis Presley’s Memphis—an exhibit complex which includes an automobile museum and the world’s largest and most comprehensive Elvis museum. 

You can pick up an interactive audio and video guide for a self-guided tour of Graceland at your own pace. Don’t forget to visit the variety of themed diners and bars in the area to complete your Graceland experience. 

– Tripadvisor",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/dd/d3/dd/graceland.jpg?w=100&h=-1&s=1,"3717 Elvis Presley Blvd., Memphis, TN 38116",NULL
Freedom Trail,4.5,NULL,NULL,NULL,"Learn about early Boston and U.S. history on this 2.5-mile-long trail that passes through 16 historic locations. Look out for the brick markers—starting in downtown Boston, crossing through the North End, and finishing at the famous Bunker Hill Monument in neighboring Charlestown. You'll pass by notable stops like Faneuil Hall, the Paul Revere House, and the USS Constitution frigate.

You can embark on the Freedom Trail for free and at your own pace, but audio guides and guided tours are also available. The trail is lined with lots of cool cafes and restaurants for you to fuel up along the way. 

– Tripadvisor",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/e7/9a/ed/photo0jpg.jpg?w=100&h=-1&s=1,"139 Tremont St, Boston, MA 02111","How to get there
Park St • 3 min walk
Boylston • 4 min walk"
NASA Kennedy Space Center Visitor Complex,4.5,Visitor Centers , Science Museums,10:00 AM - 4:00 PM,"Become an astronaut for a day at NASA's visitor center on Merritt Island. Start your visit with a bus tour of the spaceport before working your way through the various exhibits and displays, including artifacts from space missions, and ending at the Atlantis Space Shuttle. 

Arrive early for shorter lines or plan your visit during the quieter seasons like fall and winter. With so much to see, you can easily spend more than a day here. For space enthusiasts, you might want to consider the two-day admission tickets that allow a return visit within a certain timeframe. 

– Tripadvisor",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/60/46/01/nasa.jpg?w=100&h=-1&s=1,"Space Commerce Way, Merritt Island, FL 32899",NULL
The Getty Center,5.0,NULL,NULL,10:00 AM - 9:00 PM,"The Getty Center in Los Angeles is an astounding place to spend a day marveling at world-class art and relaxing in beautifully manicured gardens. Take the tram up to this lavish postmodern complex, which houses a sprawling museum featuring masterpieces by the likes of Van Gogh, Monet, and Cezanne. You can also enjoy superb views of the city from the Cactus Garden, and savor a delicious contemporary menu at the center's restaurant. 

You can visit the complex for free, though there is a parking fee. To skip the lines, book a museum tour to delve deeper into the art with the help of a knowledgeable guide. 

– Tripadvisor",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/cf/8d/93/the-getty-center.jpg?w=100&h=-1&s=1,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",NULL
Lincoln Memorial,4.5,NULL,NULL,12:00 AM - 11:59 PM,The Greek Doric-style memorial sits on the western end of the National Mall and has been the setting of many famous speeches throughout its history.,< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2a/90/9e/photo2jpg.jpg?w=100&h=-1&s=1&cx=753&cy=1134&chk=v1_436127fab842d939c769,"2 Lincoln Memorial Cir NW, Washington DC, DC 20002",NULL
